Time;CellName;PRBUsageUL;PRBUsageDL;meanThr_DL;meanThr_UL;maxThr_DL;maxThr_UL;meanUE_DL;meanUE_UL;maxUE_DL;maxUE_UL;maxUE_UL+DL;Unusual
10:45;3BLTE;12.3848;1.4019;0.3927;0.0438;16.6522;0.6806;1.1293;1.0491;5;3;8;1
9:45;1BLTE;22.0438;2.0016;0.5620;0.2697;10.3994;1.1771;1.4480;1.1630;6;5;11;1
7:45;9BLTE;0.5105;0.4258;0.0152;0.0106;0.2755;0.1685;1.0379;1.0535;1;2;3;1
2:45;4ALTE;1.9963;1.1513;0.9908;0.0245;64.7465;0.8747;1.0766;1.0526;3;2;5;1
3:30;10BLTE;0.3030;0.4040;0.0160;0.0130;0.3480;0.1680;1.0110;1.0110;2;1;3;0
13:30;9ALTE;15.9660;1.8190;0.4150;0.0710;10.1160;0.7060;1.3640;1.3140;6;5;11;0
20:00;9BLTE;7.0740;0.5050;0.0320;0.0120;1.6800;0.1310;1.0410;1.0410;3;3;6;0
8:00;4BLTE;8.4376;1.4289;0.3173;0.0264;26.1591;0.4766;1.1270;1.0604;3;4;7;1
16:45;4CLTE;26.8790;3.0320;0.5250;0.1200;9.1450;0.8940;1.4250;1.2730;6;5;11;0
4:15;6CLTE;4.1430;0.5050;0.0210;0.0130;0.4090;0.4370;1.0210;0.0100;2;2;4;0
7:30;10BLTE;0.9090;0.5050;0.1110;0.0210;4.2510;0.2620;1.0210;1.0110;2;2;4;0
22:15;4BLTE;17.8860;2.4250;0.6430;0.0740;31.0630;0.7720;1.2630;1.0810;5;3;8;0
6:30;1BLTE;2.0210;0.5050;0.0690;0.0170;1.4950;0.1730;1.0410;1.0110;3;2;5;0
1:15;5CLTE;6.9720;0.7070;0.0770;0.0320;4.6380;0.3000;1.1220;1.0210;4;3;7;0
11:45;7BLTE;0.5050;1.2130;0.2650;0.0440;14.7840;1.0330;1.3240;0.0100;6;3;9;0
22:00;8CLTE;4.8500;0.8080;0.1950;0.0460;9.7620;0.6100;1.0610;1.0310;3;3;6;0
14:45;7ULTE;1.6862;2.1673;0.3201;0.0460;9.4559;0.4593;1.1978;0.0103;4;4;8;1
21:00;5CLTE;10.2060;1.4150;0.3010;0.0380;20.2550;0.7110;1.1320;1.0210;4;3;7;0
13:15;5CLTE;24.8580;4.4460;1.4480;0.1450;27.5580;2.5110;1.6170;1.2130;7;5;12;0
14:45;4CLTE;21.9280;3.9410;1.0480;0.0790;43.9150;4.6440;1.2830;1.1920;6;5;11;0
20:45;6WLTE;1.5730;3.7380;0.6116;0.0594;27.8444;0.9647;1.3426;0.0105;6;4;10;1
14:45;9BLTE;5.6590;1.0110;0.3030;0.0330;19.8580;0.9780;1.1010;1.0310;4;3;7;0
8:15;7VLTE;1.4150;2.0210;0.4770;0.0530;22.0600;8.1510;1.1220;0.0100;3;3;6;0
19:00;7WLTE;1.4150;5.4570;0.6620;0.0720;40.2610;1.0920;1.3340;0.0100;5;3;8;0
9:00;5ALTE;2.3499;0.5208;0.0910;0.0240;9.9502;0.4295;1.0410;1.0500;2;2;4;1
0:45;6ALTE;4.8500;0.9090;0.3310;0.0280;14.2810;0.5540;1.0710;0.0100;4;2;6;0
5:30;6ULTE;0.2020;1.1120;0.2170;0.0130;4.3450;0.1030;1.0210;0.0100;3;2;5;0
21:30;3CLTE;7.1750;3.6380;1.7050;0.0670;43.8510;1.0320;1.1420;1.0410;4;3;7;0
2:30;5BLTE;9.8020;2.2230;0.8320;0.0230;33.0750;0.4470;1.0810;1.0310;4;3;7;0
13:15;6WLTE;1.9126;4.9417;0.8952;0.0998;26.3914;1.2708;1.2890;0.0101;5;4;9;1
22:45;9BLTE;3.1330;0.8080;0.3670;0.0520;11.9760;5.6850;1.0510;1.0410;3;3;6;0
7:45;8ALTE;8.5890;0.8080;0.1260;0.0240;8.3440;0.7440;1.1010;1.0510;5;4;9;0
10:30;6CLTE;13.5410;1.7180;0.8540;1.4190;11.9730;2.7220;1.3340;0.0100;6;4;10;0
6:30;8BLTE;1.9200;0.5050;0.0510;0.0130;2.1790;0.2030;1.0410;1.0110;3;2;5;0
6:30;6BLTE;5.2550;0.6060;0.1240;0.0150;5.7140;0.3240;1.0310;0.0100;3;2;5;0
23:45;10CLTE;7.8166;0.9439;0.2175;0.0388;4.3320;0.3604;1.1200;1.0079;4;4;8;1
12:00;4ALTE;4.3175;0.9113;0.3452;0.0433;16.0989;0.7374;1.1424;1.1241;4;3;7;1
12:45;6CLTE;7.7810;1.0110;0.2510;0.0280;12.6140;0.4310;1.0910;0.0100;4;2;6;0
15:45;7CLTE;0.3154;0.6233;0.1899;0.0551;9.3352;0.9865;1.1049;0.0104;5;2;7;1
10:30;1BLTE;14.7530;2.3240;0.7830;0.0740;27.7570;1.6870;1.2730;1.0610;6;3;9;0
11:30;3BLTE;22.3320;4.1430;1.1790;0.0840;9.3630;0.9370;1.3940;1.2330;6;5;11;0
8:45;6CLTE;6.3660;0.9090;0.3700;0.0330;18.3530;0.5390;1.0710;0.0100;3;2;5;0
20:45;3BLTE;11.6210;1.9200;0.3930;0.0710;14.2460;0.4980;1.3640;1.1010;6;4;10;0
15:30;6ULTE;2.6270;5.1540;0.6880;0.0980;11.7100;2.9230;1.4250;0.0100;6;4;10;0
22:15;4BLTE;24.2520;3.3350;1.4760;0.1300;87.1120;1.3530;1.4450;1.1220;6;5;11;0
18:15;5ALTE;7.3770;1.8190;0.4110;0.0450;15.4270;2.7080;1.1320;1.0310;4;3;7;0
12:15;7BLTE;0.4040;1.1120;0.2790;0.0410;16.3710;0.6540;1.2630;0.0100;5;3;8;0
12:45;7CLTE;0.7070;2.4250;0.8950;0.0790;22.5870;1.0340;1.3640;0.0100;5;3;8;0
8:00;9BLTE;3.0320;0.6060;0.3580;0.0400;11.7950;0.9360;1.0710;1.0210;3;2;5;0
3:30;5CLTE;3.1330;0.4040;0.0060;0.0030;0.5010;0.1980;1.0210;1.0110;2;2;4;0
12:30;7BLTE;0.5050;1.2130;0.3800;0.0610;16.4500;1.3050;1.2830;0.0100;5;3;8;0
16:15;6ALTE;13.7430;4.0420;2.1130;0.1000;44.4830;1.1100;0.0000;0.0000;0;0;0;0
10:15;9BLTE;2.7280;0.5050;0.0780;0.0140;4.5580;0.2160;1.0210;1.0110;3;2;5;0
22:30;1BLTE;20.4120;2.0210;0.6540;0.0810;23.8080;1.3700;1.3740;1.0610;7;4;11;0
23:15;5ALTE;2.9618;0.6076;0.1357;0.0571;5.9223;2.0377;1.0579;1.0092;3;2;5;1
5:15;9ALTE;1.5429;1.0053;0.5855;0.0239;13.0285;0.3111;1.0196;1.0342;2;2;4;1
10:45;5ALTE;2.1363;0.7008;0.0955;0.0191;5.3467;0.2980;1.1064;1.0686;4;2;6;1
12:00;6ULTE;4.0420;10.7110;1.9470;0.1420;30.7320;1.0940;1.8190;0.0100;9;5;14;0
14:00;3ALTE;16.6015;2.3348;0.6070;0.0856;24.7564;1.2857;1.2781;1.1818;6;4;10;1
22:00;7CLTE;0.6060;1.1120;0.3690;0.1490;14.3370;1.3670;1.2130;0.0100;5;2;7;0
14:45;7WLTE;1.1120;1.5160;0.1570;0.0430;8.9570;0.6160;1.2230;0.0100;5;4;9;0
19:15;3BLTE;14.0460;1.2130;0.1840;0.0520;13.2400;1.0020;1.1920;1.0910;4;4;8;0
17:15;7VLTE;0.9389;2.0813;0.2875;0.0282;16.4028;0.6961;1.0571;0.0106;3;3;6;1
23:00;6CLTE;7.7810;0.7070;0.1940;0.0400;13.2200;4.8620;1.0910;0.0100;3;2;5;0
7:30;3BLTE;6.8710;0.7070;0.1250;0.0230;10.2230;0.5780;1.0710;1.0210;4;2;6;0
22:15;1CLTE;33.7510;12.5300;1.8070;0.1790;14.4900;2.2900;2.0720;1.8590;9;8;17;0
7:00;9BLTE;2.0210;0.5050;0.0920;0.0220;2.1180;0.2550;1.0310;1.0110;2;2;4;0
21:30;2ALTE;0.1033;0.4246;0.0095;0.0063;0.0512;0.0170;1.0608;0.0107;2;1;3;1
2:30;1BLTE;9.9166;0.8210;0.2047;0.0461;6.4574;2.3578;1.1736;1.0177;5;4;9;1
12:45;3CLTE;12.9340;1.1120;0.3200;0.0640;15.6040;1.7590;1.1520;1.0610;5;3;8;0
13:45;8CLTE;10.8120;1.2130;0.2150;0.0350;7.4690;0.4990;1.1720;1.0710;5;4;9;0
2:00;6CLTE;3.8720;0.4995;0.0268;0.0114;1.1715;0.1947;1.0199;0.0100;3;2;5;1
16:30;6CLTE;7.7810;1.0110;0.2630;0.0410;23.5100;0.9320;1.1320;0.0100;4;2;6;0
4:30;7ULTE;0.0000;0.8080;0.0020;0.0010;0.0750;0.0240;1.0110;0.0100;2;1;3;0
4:45;2ALTE;0.0000;0.4040;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0;0;0
20:15;7CLTE;0.8080;1.5160;0.3520;0.0610;19.5800;0.8460;1.2730;0.0100;4;3;7;0
19:30;6ALTE;10.6100;1.8190;0.6120;0.0780;20.2190;3.5480;1.2130;0.0100;5;3;8;0
23:00;4BLTE;15.9660;2.9300;0.8270;0.0710;28.8260;1.0920;1.2830;1.1220;6;5;11;0
8:45;7ULTE;1.2130;2.6270;0.3120;0.0420;13.2990;1.0780;1.2130;0.0100;5;3;8;0
6:45;10CLTE;1.3140;0.5050;0.0800;0.0170;3.2640;0.6210;1.0210;1.0110;2;1;3;0
13:00;3CLTE;4.2083;0.8424;0.2265;0.0317;20.3947;0.4790;1.1328;1.0798;5;2;7;1
11:45;10BLTE;9.0950;4.2440;0.5190;0.0410;14.6840;1.5000;1.1520;1.1120;4;4;8;0
2:15;10CLTE;2.7280;0.8080;0.1630;0.0140;13.0540;0.2010;1.0210;1.0110;3;2;5;0
22:30;10ALTE;8.8920;1.5160;0.4230;0.0280;17.5160;1.0030;1.0710;1.0310;3;3;6;0
13:00;4BLTE;28.0920;4.5470;0.9040;0.1510;25.2120;0.7520;1.5660;1.2630;8;6;14;0
11:45;4CLTE;15.5103;1.4543;0.2650;0.0742;13.7582;0.3461;1.2173;1.1136;5;4;9;1
12:15;8BLTE;19.6040;3.1330;0.8150;0.0700;10.8210;0.5400;1.3040;1.1320;5;4;9;0
14:15;7ULTE;3.2340;5.5580;0.8640;0.1020;14.9870;1.0510;1.5060;0.0100;8;5;13;0
5:45;6WLTE;0.3087;0.8494;0.0187;0.0085;0.5845;0.2867;1.0090;0.0101;2;2;4;1
2:15;3CLTE;0.4040;0.4040;0.0080;0.0060;0.1110;0.0570;1.0110;1.0110;2;1;3;0
8:45;8CLTE;5.5580;0.9090;0.2270;0.0220;13.5140;0.4340;1.0610;1.0210;4;2;6;0
1:15;7ULTE;0.2020;1.1120;0.4480;0.0100;18.9080;0.1210;1.0410;0.0100;3;2;5;0
8:00;7VLTE;0.5180;0.9129;0.0353;0.0209;3.4790;0.5113;1.0682;0.0104;2;4;6;1
1:15;8ALTE;8.9171;1.0512;0.3823;0.0476;30.2993;0.4197;1.2066;1.1294;6;4;10;1
5:15;9ALTE;0.3030;0.4040;0.0160;0.0060;0.1500;0.0520;1.0110;1.0110;1;1;2;0
17:00;7CLTE;0.3030;1.2130;0.2190;0.0200;17.3600;0.2170;1.2020;0.0100;4;3;7;0
5:45;1BLTE;1.3140;0.4040;0.0330;0.0120;1.7670;0.1710;1.0310;1.0110;2;2;4;0
12:15;10CLTE;6.5225;0.8125;0.1769;0.0242;10.1465;0.3296;1.1160;1.0432;4;3;7;1
8:45;8BLTE;13.0350;1.8190;0.4610;0.0540;11.3170;1.1040;1.2020;1.0610;5;4;9;0
6:45;1ALTE;2.5260;0.7070;0.3750;0.0200;47.3900;0.6230;1.0310;1.0210;3;2;5;0
3:00;3ALTE;3.6380;2.6270;1.3240;0.0580;15.4870;1.4840;1.0610;1.0210;3;2;5;0
10:45;6VLTE;1.6170;3.3350;0.3980;0.0410;13.1030;1.3910;1.2330;0.0100;5;4;9;0
2:00;4ALTE;3.4360;2.1220;1.2000;0.0510;17.6120;0.5050;1.0510;1.0210;3;2;5;0
